Created_at;Fakultas;Tahun;Tahun Data;Anggaran;Serapan;id;kodeunit;namaunit;bulan;jumlah;tahun;created_at
18/09/2023 10:30;FH;2023;01/01/2023;14261572807;6094166660;27;10300;FH;3;1012488896;2019;18/09/2023 10:27
18/09/2023 10:30;FH;2022;01/01/2022;21332683824;9246324588;27;10300;FH;3;1012488896;2019;18/09/2023 10:27
18/09/2023 10:29;FH;2021;01/01/2021;11502479846;5750966470;27;10300;FH;3;1012488896;2019;18/09/2023 10:27
18/09/2023 10:29;FH;2020;01/01/2020;10552737600;5840632567;27;10300;FH;3;1012488896;2019;18/09/2023 10:27
18/09/2023 10:29;FH;2019;01/01/2019;8420482789;8051476659;27;10300;FH;3;1012488896;2019;18/09/2023 10:27
18/09/2023 10:30;FH;2023;01/01/2023;14261572807;6094166660;28;10300;FH;4;918987991;2019;18/09/2023 10:27
18/09/2023 10:30;FH;2022;01/01/2022;21332683824;9246324588;28;10300;FH;4;918987991;2019;18/09/2023 10:27
18/09/2023 10:29;FH;2021;01/01/2021;11502479846;5750966470;28;10300;FH;4;918987991;2019;18/09/2023 10:27
18/09/2023 10:29;FH;2020;01/01/2020;10552737600;5840632567;28;10300;FH;4;918987991;2019;18/09/2023 10:27
18/09/2023 10:29;FH;2019;01/01/2019;8420482789;8051476659;28;10300;FH;4;918987991;2019;18/09/2023 10:27
18/09/2023 10:30;FH;2023;01/01/2023;14261572807;6094166660;29;10300;FH;5;2173620912;2019;18/09/2023 10:27
18/09/2023 10:30;FH;2022;01/01/2022;21332683824;9246324588;29;10300;FH;5;2173620912;2019;18/09/2023 10:27
18/09/2023 10:29;FH;2021;01/01/2021;11502479846;5750966470;29;10300;FH;5;2173620912;2019;18/09/2023 10:27
18/09/2023 10:29;FH;2020;01/01/2020;10552737600;5840632567;29;10300;FH;5;2173620912;2019;18/09/2023 10:27
18/09/2023 10:29;FH;2019;01/01/2019;8420482789;8051476659;29;10300;FH;5;2173620912;2019;18/09/2023 10:27
18/09/2023 10:30;FH;2023;01/01/2023;14261572807;6094166660;30;10300;FH;6;685580810;2019;18/09/2023 10:27
18/09/2023 10:30;FH;2022;01/01/2022;21332683824;9246324588;30;10300;FH;6;685580810;2019;18/09/2023 10:27
18/09/2023 10:29;FH;2021;01/01/2021;11502479846;5750966470;30;10300;FH;6;685580810;2019;18/09/2023 10:27
18/09/2023 10:29;FH;2020;01/01/2020;10552737600;5840632567;30;10300;FH;6;685580810;2019;18/09/2023 10:27
18/09/2023 10:29;FH;2019;01/01/2019;8420482789;8051476659;30;10300;FH;6;685580810;2019;18/09/2023 10:27
18/09/2023 10:30;FH;2023;01/01/2023;14261572807;6094166660;31;10300;FH;7;1585640679;2019;18/09/2023 10:27
18/09/2023 10:30;FH;2022;01/01/2022;21332683824;9246324588;31;10300;FH;7;1585640679;2019;18/09/2023 10:27
18/09/2023 10:29;FH;2021;01/01/2021;11502479846;5750966470;31;10300;FH;7;1585640679;2019;18/09/2023 10:27
18/09/2023 10:29;FH;2020;01/01/2020;10552737600;5840632567;31;10300;FH;7;1585640679;2019;18/09/2023 10:27
18/09/2023 10:29;FH;2019;01/01/2019;8420482789;8051476659;31;10300;FH;7;1585640679;2019;18/09/2023 10:27
18/09/2023 10:30;FH;2023;01/01/2023;14261572807;6094166660;32;10300;FH;8;996821316;2019;18/09/2023 10:27
18/09/2023 10:30;FH;2022;01/01/2022;21332683824;9246324588;32;10300;FH;8;996821316;2019;18/09/2023 10:27
18/09/2023 10:29;FH;2021;01/01/2021;11502479846;5750966470;32;10300;FH;8;996821316;2019;18/09/2023 10:27
18/09/2023 10:29;FH;2020;01/01/2020;10552737600;5840632567;32;10300;FH;8;996821316;2019;18/09/2023 10:27
18/09/2023 10:29;FH;2019;01/01/2019;8420482789;8051476659;32;10300;FH;8;996821316;2019;18/09/2023 10:27
18/09/2023 10:30;FH;2023;01/01/2023;14261572807;6094166660;33;10300;FH;9;1033776112;2019;18/09/2023 10:27
18/09/2023 10:30;FH;2022;01/01/2022;21332683824;9246324588;33;10300;FH;9;1033776112;2019;18/09/2023 10:27
18/09/2023 10:29;FH;2021;01/01/2021;11502479846;5750966470;33;10300;FH;9;1033776112;2019;18/09/2023 10:27
18/09/2023 10:29;FH;2020;01/01/2020;10552737600;5840632567;33;10300;FH;9;1033776112;2019;18/09/2023 10:27
18/09/2023 10:29;FH;2019;01/01/2019;8420482789;8051476659;33;10300;FH;9;1033776112;2019;18/09/2023 10:27
18/09/2023 10:30;FH;2023;01/01/2023;14261572807;6094166660;34;10300;FH;10;1260931615;2019;18/09/2023 10:27
18/09/2023 10:30;FH;2022;01/01/2022;21332683824;9246324588;34;10300;FH;10;1260931615;2019;18/09/2023 10:27
18/09/2023 10:29;FH;2021;01/01/2021;11502479846;5750966470;34;10300;FH;10;1260931615;2019;18/09/2023 10:27
18/09/2023 10:29;FH;2020;01/01/2020;10552737600;5840632567;34;10300;FH;10;1260931615;2019;18/09/2023 10:27
18/09/2023 10:29;FH;2019;01/01/2019;8420482789;8051476659;34;10300;FH;10;1260931615;2019;18/09/2023 10:27
18/09/2023 10:30;FH;2023;01/01/2023;14261572807;6094166660;35;10300;FH;11;1652449386;2019;18/09/2023 10:27
18/09/2023 10:30;FH;2022;01/01/2022;21332683824;9246324588;35;10300;FH;11;1652449386;2019;18/09/2023 10:27
18/09/2023 10:29;FH;2021;01/01/2021;11502479846;5750966470;35;10300;FH;11;1652449386;2019;18/09/2023 10:27
18/09/2023 10:29;FH;2020;01/01/2020;10552737600;5840632567;35;10300;FH;11;1652449386;2019;18/09/2023 10:27
18/09/2023 10:29;FH;2019;01/01/2019;8420482789;8051476659;35;10300;FH;11;1652449386;2019;18/09/2023 10:27
18/09/2023 10:30;FH;2023;01/01/2023;14261572807;6094166660;36;10300;FH;12;3730818374;2019;18/09/2023 10:27
18/09/2023 10:30;FH;2022;01/01/2022;21332683824;9246324588;36;10300;FH;12;3730818374;2019;18/09/2023 10:27
18/09/2023 10:29;FH;2021;01/01/2021;11502479846;5750966470;36;10300;FH;12;3730818374;2019;18/09/2023 10:27
18/09/2023 10:29;FH;2020;01/01/2020;10552737600;5840632567;36;10300;FH;12;3730818374;2019;18/09/2023 10:27
18/09/2023 10:29;FH;2019;01/01/2019;8420482789;8051476659;36;10300;FH;12;3730818374;2019;18/09/2023 10:27
18/09/2023 10:30;FEB;2023;01/01/2023;29684486559;15982379443;37;10400;FEB;1;423245952;2019;18/09/2023 10:27
18/09/2023 10:30;FEB;2022;01/01/2022;41223616534;26820503094;37;10400;FEB;1;423245952;2019;18/09/2023 10:27
18/09/2023 10:29;FEB;2021;01/01/2021;25320911416;15315739766;37;10400;FEB;1;423245952;2019;18/09/2023 10:27
18/09/2023 10:29;FEB;2020;01/01/2020;26511101874;16126371229;37;10400;FEB;1;423245952;2019;18/09/2023 10:27
18/09/2023 10:29;FEB;2019;01/01/2019;20537103857;19771930521;37;10400;FEB;1;423245952;2019;18/09/2023 10:27
18/09/2023 10:30;FEB;2023;01/01/2023;29684486559;15982379443;38;10400;FEB;2;1602303669;2019;18/09/2023 10:27
18/09/2023 10:30;FEB;2022;01/01/2022;41223616534;26820503094;38;10400;FEB;2;1602303669;2019;18/09/2023 10:27
18/09/2023 10:29;FEB;2021;01/01/2021;25320911416;15315739766;38;10400;FEB;2;1602303669;2019;18/09/2023 10:27
18/09/2023 10:29;FEB;2020;01/01/2020;26511101874;16126371229;38;10400;FEB;2;1602303669;2019;18/09/2023 10:27
18/09/2023 10:29;FEB;2019;01/01/2019;20537103857;19771930521;38;10400;FEB;2;1602303669;2019;18/09/2023 10:27
18/09/2023 10:30;FEB;2023;01/01/2023;29684486559;15982379443;39;10400;FEB;3;1205803256;2019;18/09/2023 10:27
18/09/2023 10:30;FEB;2022;01/01/2022;41223616534;26820503094;39;10400;FEB;3;1205803256;2019;18/09/2023 10:27
18/09/2023 10:29;FEB;2021;01/01/2021;25320911416;15315739766;39;10400;FEB;3;1205803256;2019;18/09/2023 10:27
18/09/2023 10:29;FEB;2020;01/01/2020;26511101874;16126371229;39;10400;FEB;3;1205803256;2019;18/09/2023 10:27
18/09/2023 10:29;FEB;2019;01/01/2019;20537103857;19771930521;39;10400;FEB;3;1205803256;2019;18/09/2023 10:27
18/09/2023 10:30;FEB;2023;01/01/2023;29684486559;15982379443;40;10400;FEB;4;2427286182;2019;18/09/2023 10:27
18/09/2023 10:30;FEB;2022;01/01/2022;41223616534;26820503094;40;10400;FEB;4;2427286182;2019;18/09/2023 10:27
18/09/2023 10:29;FEB;2021;01/01/2021;25320911416;15315739766;40;10400;FEB;4;2427286182;2019;18/09/2023 10:27
18/09/2023 10:29;FEB;2020;01/01/2020;26511101874;16126371229;40;10400;FEB;4;2427286182;2019;18/09/2023 10:27
18/09/2023 10:29;FEB;2019;01/01/2019;20537103857;19771930521;40;10400;FEB;4;2427286182;2019;18/09/2023 10:27
18/09/2023 10:30;FEB;2023;01/01/2023;29684486559;15982379443;41;10400;FEB;5;3968921158;2019;18/09/2023 10:27
18/09/2023 10:30;FEB;2022;01/01/2022;41223616534;26820503094;41;10400;FEB;5;3968921158;2019;18/09/2023 10:27
18/09/2023 10:29;FEB;2021;01/01/2021;25320911416;15315739766;41;10400;FEB;5;3968921158;2019;18/09/2023 10:27
18/09/2023 10:29;FEB;2020;01/01/2020;26511101874;16126371229;41;10400;FEB;5;3968921158;2019;18/09/2023 10:27
18/09/2023 10:29;FEB;2019;01/01/2019;20537103857;19771930521;41;10400;FEB;5;3968921158;2019;18/09/2023 10:27
18/09/2023 10:30;FEB;2023;01/01/2023;29684486559;15982379443;42;10400;FEB;6;3553039607;2019;18/09/2023 10:27
18/09/2023 10:30;FEB;2022;01/01/2022;41223616534;26820503094;42;10400;FEB;6;3553039607;2019;18/09/2023 10:27
18/09/2023 10:29;FEB;2021;01/01/2021;25320911416;15315739766;42;10400;FEB;6;3553039607;2019;18/09/2023 10:27
